2013.5.28,,13040,PerfecTray (former Platform tray) - in bag,50000,50000,0,__,,,49112,,,,,,,,33460,send before 2013.11.,15652,2013.11.05: shipped to usa by container,,,,,,,,,,,,,,,,
2013.10.16,,13010,Thermoforming Tray - sealed in bag,100000,100000,0,__,,,100000,,,,,,,,5600,2013.10.29 :TO USA,10400,2013.10.29 :TO UK,36640,2013.11.05: shipped to usa by container,2640,2013.11.21: shipped to usa,44720,2013.12.12: shipped to usa by container,,,,,,,,,,
Before 2014,,6165,PVC Ziplock Pouch (Standard)- 220 x 113 x 30mm,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,,6160,"PVC Bag with Zipper, (Non-standard) - 230x123x30mm",600,600,0,,,,600,,,,,,,,600,2014.5.08: SHIP TO USA 4205,,,,,,,,,,41955,,,,,,,,
Before 2014,,12140,BW Case,25,25,0,,,,25,,,,,,,,25,2014.3.12: SHIPPED TO USA BY AIR WITH LAMPS,,,,,,,,,,,,,,,,,,
Before 2014,,12300,Generic Case,12,12,0,,,,12,,,,,,,,12,2014.4.18: ship to USA with lamp 4197,,,,,,,,,,,,,,,,,,
Before 2014,,5010,"2 mL - Activator spray bottle, Sapient ",4000,4000,0,,,,4000,,,,,,,,4000,2014.3.12: SHIPPED TO USA BY AIR,,,,,,,,,,,,,,,,,,
Before 2014,,1260,GlamWhite Elite - purple cases,900,900,0,,,,900,,,,,,,,900,2014.3.25: ship to rotterdam by LCL 4185,,,,,,,,,,,,,,,,,,
Before 2014,,1210,Bianco Professional case,115,115,115,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,,7030,Cheek Retractor Large Clear,1800,1800,0,,,,1800,,,,,,,,1800,2014.3.25: ship to rotterdam by LCL 4185,,,,,,,,,,,,,,,,,,
Before 2014,,7010,Cheek Retractor Blue,520,520,0,,,,520,,,,,,,,520,2014.7.22: ship to USA by container 4224,,,,,,,,,,,,,,,,,,
Before 2014,,7020,Cheek Retractor Purple,900,900,900,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,,12510,Blue Sponge - Blue oral swab,6900,6900,0,,,,6900,,,,,,,,1000,2014.3.4: to spain by express 4180,5900,2014.3.25: ship to rotterdam by LCL 4185,,,,,,,,,,,,,,,,
Before 2014,LOLI,12585,Safety seal (3cm) with hologram,50000,50000,50000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,LOLI,12586,Label: Cliona Permanent Make up Colors,4000,4000,4000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,,17030,"Syringe 3mL, not lined ",10000,10000,0,,,,10000,,,,,,,,10000,2014.5.12_ ship to USA by container 4207,,,,,,,,,,,,,,,,,,
Before 2014,,17060,"Syringe 5mL, not lined",400,400,400,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,,1475,Box: The Smile Pro Kit 0% Peroxide,1000,1000,1000,___,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,,6075,Box: CW Fusion - The Smile,1000,1000,1000,___,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,,6210,Pen Box - White Spa Dental,370,370,370,___,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,,1690,Sapient White-FX 16% HP 5 pack - box,1820,1820,0,___,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,,1670,Sapient White-FX 38% Pro Kit - box,7910,7910,0,___,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before 2014,,1610,Sapient White-FX Single 16% - boxes ,1230,1230,0,___,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.6.29,,18040,Professional Teeth Shade Guide,300,300,0,JOJO,,,300,,,,,,,,100,to spain,40,to spain,30,to usa,50,2013.11.29: SHIPPED TO SPAIN,30,2013.12.11: shipped to USA,50,2012.12.12: shipped to USA by container,,,,,,,,
2013.6.29,,12080,"Futura 2400 - BW, White",125,125,-2,JOJO,,,127,,,,,,,,20,to usa,30,spain,15,to usa,22,to usa,40,2013.11.05: shipped to usa by container with aluminum case,,,,,,,,,,
2013.6.29,,12090,White Lamp - Generic,50,50,-37,JOJO,,,87,,,,,,,,5,to usa,7,to usa,75,2013.11.05: shipped to usa by container 20pcs of them are with aluminum case,,,,,,,,,,,,,,
2013.6.29,,12070,Silver Lamp - Generic,41,41,0,JOJO,,,41,,,,,,,,41,2013.11.05: SHIPPED TO USA BY CONTAINER,,,,,,,,,,,,,,,,,,
2013.8.8,,12030,Planet Beach Lamp,5,5,0,JOJO,,,5,,,,,,,,5,2013.11.05: SHIPPED TO USA BY CONTAINER,,,,,,,,,,,,,,,,,,
2013.9.18,loli,12095,Topaz 3000 Lamp,15,15,0,JOJO,,,15,,,,,,,,15,2013.12.09: shipped to finland,,,,,,,,,,,,,,,,,,
2013.10.8,,12050,RFID White Lamp - BW,20,20,0,JOJO,,,20,,,,,,,,2,2013.10.29: TO MALYASIA (BW),3,2013.10.29:TO USA(BW),15,"2013.11.05: SHIPPED TO USA BY CONTAINER 10PCS/BW, 5PCS/GENERIC",,,,,,,,,,,,,,
2013.10.8,,12055,RFID White Lamp - Generic,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.10.12,,1395,"Headset, Forever White",3500,3500,0,JOJO,"27,Nov",A,3400,,,,,,,,3400,"2014.1.23 sent 3,400pc to US by container",,,,,,,,,,,,,,,,,,
2013.7.03,,17090,"Syringe 10mL, Pad Printed - 36% CP",100000,100000,0,L,,,100000,,,,,,,,4800,to usa:(line only),4800,to usa (logo and line),76800,"2013.11.05: shipped to usa by container 48000pcs with logo, 28800 with line only",13600,2013.11.14: SHIPPED TO USA BY AIR 8000PCS WITH LOGO AND LINE. 5600PCS WITH LINE ONLY.,,,,,,,,,,,,
2013.7.23,,3040,Facial Bed White ,50,50,0,Sunny,,,50,,,,,,,,50,2013.11.05: shipped to usa by container,,,,,,,,,,,,,,,,,,
2013.7.23,,3010,Facial Bed Black ,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
